word,meaning,prompt_type,sentiment,rating,explanation,analysis_valid,analysis_error,source_sentences
khotlalelo,Feeling or showing mild surprise or astonishment.,few-shot,neutral,1,"The text 'khotlalelo' is a single word without context, making it difficult to determine any emotional tone or subjective opinion.",True,,"[""Khotlalelo ya motse e ile ya tshwarwa ka Moqebelo ho buisanoa ka merero ya ntshetsopele."", ""Buka ena e fana ka khotlalelo e qaqileng ya nalane ya naha.""]"
Khotso,satisfaction,zero-shot,positive,2,"The word 'Khotso' means 'peace', which generally conveys a positive sentiment, though the intensity is mild.",True,,"[""Khotso ke motheo wa ntshetsopele ya setjhaba."", ""Re phela hantle ha Khotso e le teng dipakeng tsa rona.""]"
Khotsong,disagreement,zero-shot,neutral,1,The text is a simple greeting with no emotional tone or subjective opinion expressed.,True,,"[""Khotsong ke tsela e ntle ya ho dumedisa batho ka tlhompho."", ""Baithuti ba ile ba qala kopano ka ho re, \""Khotsong, bohle!\""""]"
makatsa,surprising,few-shot,negative,2,"The word 'makatsa' can imply surprise or shock, often with a negative connotation.",True,,"[""Ho makatsa hore batho ba bang ba ka etsa lintho tse mpe joalo ka ho utsoa."", ""Ke makatsa hore na ke hobane'ng ha a ne a bua leshano ka ntho e nyenyane joalo.""]"
masea,Feeling or showing intense dislike or hatred.,few-shot,neutral,1,"The text 'masea' is a neutral term meaning 'babies' in Sotho, without any emotional tone or subjective opinion.",True,,"[""Masea a thabile ha a bapala le metswalle ya ona."", ""Masea a hloka tlhokomelo e kgethehileng ho hola hantle.""]"
matšoenyeho,Feeling or showing great enthusiasm and excitement.,few-shot,negative,3,"The word 'matšoenyeho' translates to 'worry' or 'anxiety', indicating a negative emotional tone.",True,,"[""Mat\u0161oenyeho a hae a mo sitisitse ho robala bosiu bohle."", ""Ho na le mat\u0161oenyeho a mangata ka bokamoso ba moruo oa naha.""]"
mohlomong,Feeling or showing mild surprise or astonishment.,few-shot,neutral,1,"The word 'mohlomong' translates to 'maybe' or 'perhaps', which does not convey any strong emotional tone or subjective opinion.",True,,"[""Mohlomong re tla fumana diphetho tse molemo ha re sebetsa 'moho."", ""Mohlomong pula e tla na hosane, kahoo re lokela ho itokisetsa.""]"
mokhatho,Feeling or showing deep respect or admiration.,few-shot,neutral,1,"The text 'mokhatho' is a single word without context, making it impossible to determine any emotional tone or subjective opinion.",True,,"[""Mokhatho wa diphoofolo o hloka tlhokomelo e kgethehileng ho netefatsa polokeho ya tsona."", ""Mokhatho wa dipalesa o bontsha mebala e fapaneng le botle bo ikgethileng.""]"
Molato,disappointment,zero-shot,neutral,1,"The text 'Molato' is a single word meaning 'case' or 'guilt', which does not convey any clear emotional tone or subjective opinion.",True,,"[""Molato o tlameha ho hlahlojoa ka hloko ke lekhotla la toka."", ""Motho e mong le e mong o na le tokelo ea ho it\u0161ireletsa ha a qosoa ka molato.""]"
Molomong,approval,zero-shot,neutral,1,"The text 'Molomong' is a single word without any context or emotional tone, making it neutral.",True,,"[""Molomong wa noka ho na le litlhapi tse ngata."", ""Molomong wa thaba ho bonahala ho na le lehloa.""]"
tahlehelo,financial loss or disappointment,few-shot,negative,3,"The word 'tahlehelo' translates to 'loss', which conveys a negative sentiment.",True,,"[""Tahlehelo ea mosebetsi e ile ea baka mathata a lichelete lapeng."", ""Ho lahleheloa ke motsoalle e moholo ke tahlehelo e bohloko bophelong.""]"
tebello,financial expectation or anticipation,few-shot,neutral,1,"The text 'tebello' is a noun meaning 'expectation' in Sotho, which does not inherently convey a positive or negative sentiment.",True,,"[""Tebello ya ho fumana mosebetsi e ntse e le kholo ho bacha ba bangata."", ""Tebello ea liphetho tse ntle e entse hore baithuti ba sebetse ka thata.""]"
thabo,joy,few-shot,positive,5,"The word 'thabo' translates to 'joy' or 'happiness', indicating a strong positive sentiment.",True,,"[""Thabo o ile a hlaha sefahlehong sa hae ha a bona mpho eo a e amohetseng."", ""Re ile ra bina le ho tant\u0161a ka thabo moketeng oa lenyalo.""]"
tlala,economic hardship or poverty,few-shot,negative,3,"The word 'tlala' means 'hunger' in Sotho, which typically conveys a negative sentiment due to its association with lack and need.",True,,"[""Tlala e ile ya baka mathata a maholo motseng wa rona."", ""Bana ba bangata ba ile ba tshwarwa ke malwetse ka lebaka la tlala.""]"
Tsebo,knowledge,zero-shot,neutral,1,The text 'Tsebo' is a noun meaning 'knowledge' and does not convey any emotional tone or subjective opinion.,True,,"[""Tsebo ke senotlolo sa katleho bophelong."", ""Buka ena e fana ka tsebo e tebileng ka nalane ea Afrika.""]"
Tšepo,justice,zero-shot,positive,2,"The word 'Tšepo' translates to 'hope', which generally conveys a positive sentiment, though the intensity is mild due to the lack of additional context.",True,,"[""T\u0161epo e re fa matla a ho phehella litoro tsa rona."", ""Ka t\u0161epo, re ka hlola mathata 'ohle ao re tobanang le 'ona.""]"
tšitiso,disruption,zero-shot,negative,2,"The word 'tšitiso' translates to 'obstacle' or 'hindrance', which typically carries a negative connotation.",True,,"[""T\u0161itiso e bakile mathata a mangata mosebetsing kajeno."", ""Ho bile le t\u0161itiso e kholo nakong ea kopano, e sitisitseng puisano.""]"
tšoenyeho,worry,zero-shot,negative,3,"The word 'tšoenyeho' translates to 'worry' or 'concern', indicating a negative emotional tone.",True,,"[""T\u0161oenyeho e bakile hore a se ke a robala hantle bosiu bohle."", ""Ho na le t\u0161oenyeho e kholo ka polokeho ea bana ba sekolong.""]"
